"","0","1","2","3","4","5","6","7"
"0",3,0,0,0,0,0,0,1
"1",0,5,1,0,2,0,0,2
"2",0,1,8,1,4,1,0,0
"3",1,0,1,6,0,0,0,0
"4",0,0,0,1,5,2,1,1
"5",0,1,1,0,1,8,1,1
"6",0,0,0,0,1,2,5,1
"7",0,0,0,0,0,0,0,12
