"","0","1","2","3","4","5","6","7"
"0",7,1,1,0,0,0,1,0
"1",3,4,1,0,0,0,0,0
"2",0,2,6,2,0,2,0,1
"3",0,0,1,8,2,0,0,1
"4",0,0,0,1,4,0,0,1
"5",1,1,0,0,2,9,1,1
"6",0,1,0,0,3,2,4,0
"7",1,0,0,1,0,1,2,7
