"","0","1","2","3","4","5","6"
"0",12,2,0,0,0,0,0
"1",2,9,2,1,0,0,0
"2",1,4,2,4,1,0,0
"3",1,1,1,4,5,0,1
"4",0,0,0,2,6,2,0
"5",0,0,2,1,2,8,2
"6",0,1,0,1,1,0,9
