"","0","1","2","3","4","5","6","7","8","9"
"0",3,1,0,1,0,0,0,0,0,0
"1",0,4,1,0,0,0,0,0,1,0
"2",0,1,7,1,0,2,0,0,0,0
"3",0,0,1,1,2,0,1,0,0,0
"4",3,0,0,2,5,1,1,0,0,0
"5",0,0,0,0,1,5,3,0,0,0
"6",0,1,0,0,0,1,3,5,1,0
"7",0,0,2,0,0,0,3,2,2,0
"8",0,0,1,1,0,0,1,2,7,0
"9",0,0,0,0,0,0,1,0,0,7
