"","0","1","2","3","4","5"
"0",9,3,0,2,0,0
"1",1,12,0,3,0,0
"2",0,1,5,2,0,1
"3",0,0,1,8,3,0
"4",1,1,2,0,9,4
"5",0,0,1,2,0,8
