"","0","1","2","3","4","5"
"0",4,3,0,0,0,0
"1",1,6,0,3,1,2
"2",1,2,11,2,0,0
"3",0,1,0,10,3,0
"4",0,1,0,1,9,1
"5",0,0,0,1,0,18
