"","0","1","2","3","4","5","6"
"0",9,1,0,1,1,0,0
"1",0,12,1,1,0,0,0
"2",0,2,4,1,2,0,1
"3",0,1,1,8,1,0,1
"4",0,0,1,0,7,2,0
"5",0,0,1,1,1,5,4
"6",0,0,0,2,0,0,7
