"","0","1","2","3","4","5"
"0",12,1,0,0,1,0
"1",2,8,2,0,2,0
"2",0,0,10,1,0,1
"3",1,0,0,7,0,2
"4",1,1,1,5,7,2
"5",1,0,2,2,5,9
