"","0","1","2","3","4","5"
"0",10,3,2,1,0,1
"1",1,9,2,0,1,0
"2",7,2,4,5,6,1
"3",2,0,5,1,0,5
"4",0,1,1,1,2,0
"5",0,1,3,2,2,4
