"","0","1","2","3","4","5"
"0",11,2,2,0,2,0
"1",1,14,2,0,2,0
"2",0,2,12,2,1,4
"3",1,0,1,6,4,0
"4",2,0,1,2,10,2
"5",0,0,0,1,3,7
