"","0","1","2","3","4","5"
"0",10,2,2,0,2,0
"1",0,9,1,0,1,1
"2",1,3,5,0,1,0
"3",1,1,3,10,2,1
"4",1,1,1,1,7,1
"5",3,3,2,2,2,7
