"","0","1","2","3","4","5"
"0",7,1,0,1,0,0
"1",2,10,1,1,1,0
"2",1,1,6,1,0,2
"3",1,0,1,7,2,2
"4",0,0,0,0,5,1
"5",0,2,1,0,0,11
