"","0","1","2","3","4","5","6","7"
"0",11,2,0,0,0,0,0,0
"1",2,6,0,0,1,0,0,0
"2",2,4,7,3,1,3,0,0
"3",0,1,0,4,0,0,0,1
"4",0,0,1,2,4,2,0,1
"5",0,0,0,1,3,9,1,1
"6",0,0,0,1,0,0,6,4
"7",0,1,0,0,0,0,0,5
