"","0","1","2","3","4","5","6","7"
"0",2,0,0,0,0,0,0,0
"1",2,8,1,0,1,1,1,0
"2",0,1,4,2,1,2,0,0
"3",3,0,1,6,2,0,0,0
"4",0,0,2,1,7,3,1,0
"5",0,1,0,0,2,7,1,1
"6",0,2,0,0,0,1,7,1
"7",1,0,1,1,0,1,0,9
