"","0","1","2","3","4","5"
"0",5,0,0,0,1,0
"1",0,11,1,1,1,0
"2",3,1,8,2,3,1
"3",0,1,3,11,2,1
"4",0,3,0,2,9,2
"5",1,1,1,1,1,11
