"","0","1","2","3","4","5","6"
"0",4,0,0,1,0,1,0
"1",1,11,1,1,0,0,0
"2",0,1,2,2,3,0,0
"3",2,0,2,8,5,0,1
"4",0,1,1,1,7,5,1
"5",0,2,0,0,2,7,0
"6",1,0,2,0,1,0,11
