"","0","1","2","3","4","5","6"
"0",6,1,0,1,0,0,0
"1",2,7,1,1,0,0,1
"2",1,2,9,0,2,0,1
"3",0,0,1,7,1,3,5
"4",0,1,1,0,6,2,0
"5",0,0,1,0,1,7,0
"6",0,0,1,1,0,1,6
