"","0","1","2","3","4","5","6","7","8"
"0",4,1,0,0,0,0,1,0,0
"1",2,11,3,2,1,1,0,1,0
"2",0,1,9,0,2,1,2,3,0
"3",0,1,0,8,2,0,0,2,0
"4",0,0,2,3,19,5,1,0,0
"5",0,0,1,0,1,17,2,0,2
"6",0,0,0,0,1,2,10,2,0
"7",1,0,0,0,0,0,1,13,0
"8",1,1,1,1,0,1,1,4,4
