"","0","1","2","3","4","5","6","7"
"0",6,2,1,0,1,0,1,0
"1",2,13,0,1,1,0,0,0
"2",0,4,13,5,2,3,1,0
"3",0,0,4,12,2,0,2,0
"4",0,0,3,1,11,3,0,0
"5",0,1,0,1,2,14,1,1
"6",0,0,2,0,1,3,17,0
"7",1,2,0,0,2,1,2,2
