"","0","1","2","3","4","5","6","7","8","9"
"0",2,1,1,1,0,1,0,1,0,0
"1",2,9,2,0,0,0,0,1,0,0
"2",0,1,13,1,1,3,2,1,1,0
"3",0,1,1,9,3,2,1,2,0,0
"4",0,0,1,2,14,2,1,1,1,0
"5",1,1,0,2,2,13,1,0,1,0
"6",0,1,0,1,1,2,19,2,0,1
"7",0,0,0,0,1,1,0,9,3,0
"8",0,0,3,0,0,1,2,2,11,0
"9",1,0,1,1,0,0,1,0,0,5
