"","0","1","2","3","4","5","6"
"0",4,3,1,0,0,1,0
"1",3,12,1,0,1,0,0
"2",0,3,11,4,1,2,0
"3",1,1,4,15,2,1,0
"4",0,0,0,6,17,1,0
"5",0,2,0,0,3,15,1
"6",0,1,0,1,3,2,2
