"","cost","trainAcc","valAcc","valPrecision","valRecall","valF1_score","testAcc","testPrecision","testRecall","testF1_score"
"1",1,0.790955969853233,0.752380952380952,0.684782608695652,0.732558139534884,0.707865168539326,0.751486325802616,0.714285714285714,0.712328767123288,0.713305898491084
"2",11,0.89765965886553,0.813095238095238,0.750670241286863,0.813953488372093,0.781032078103208,0.787158145065398,0.740932642487047,0.783561643835616,0.761651131824234
"3",21,0.936136453788179,0.797619047619048,0.737704918032787,0.784883720930233,0.76056338028169,0.780023781212842,0.73936170212766,0.761643835616438,0.750337381916329
"4",31,0.951209837366125,0.783333333333333,0.723756906077348,0.761627906976744,0.742209631728045,0.781212841854935,0.743935309973046,0.756164383561644,0.75
"5",41,0.957953193177311,0.78452380952381,0.724517906336088,0.76453488372093,0.743988684582744,0.778834720570749,0.745205479452055,0.745205479452055,0.745205479452055
"6",51,0.96271320904403,0.78452380952381,0.729577464788732,0.752906976744186,0.741058655221745,0.7705112960761,0.738888888888889,0.728767123287671,0.733793103448276
"7",61,0.965489884966283,0.782142857142857,0.725490196078431,0.752906976744186,0.738944365192582,0.771700356718193,0.742296918767507,0.726027397260274,0.734072022160665
"8",71,0.965886552955177,0.782142857142857,0.725490196078431,0.752906976744186,0.738944365192582,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"9",81,0.96628322094407,0.782142857142857,0.725490196078431,0.752906976744186,0.738944365192582,0.771700356718193,0.743661971830986,0.723287671232877,0.733333333333333
"10",91,0.966679888932963,0.782142857142857,0.725490196078431,0.752906976744186,0.738944365192582,0.771700356718193,0.743661971830986,0.723287671232877,0.733333333333333
"11",101,0.967076556921856,0.783333333333333,0.726256983240223,0.755813953488372,0.740740740740741,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"12",111,0.967076556921856,0.783333333333333,0.726256983240223,0.755813953488372,0.740740740740741,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"13",121,0.967076556921856,0.783333333333333,0.726256983240223,0.755813953488372,0.740740740740741,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"14",131,0.967076556921856,0.783333333333333,0.726256983240223,0.755813953488372,0.740740740740741,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"15",141,0.967076556921856,0.783333333333333,0.726256983240223,0.755813953488372,0.740740740740741,0.771700356718193,0.742296918767507,0.726027397260274,0.734072022160665
"16",151,0.967076556921856,0.783333333333333,0.726256983240223,0.755813953488372,0.740740740740741,0.771700356718193,0.742296918767507,0.726027397260274,0.734072022160665
"17",161,0.96747322491075,0.783333333333333,0.726256983240223,0.755813953488372,0.740740740740741,0.771700356718193,0.742296918767507,0.726027397260274,0.734072022160665
"18",171,0.96866322887743,0.783333333333333,0.726256983240223,0.755813953488372,0.740740740740741,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"19",181,0.96866322887743,0.783333333333333,0.726256983240223,0.755813953488372,0.740740740740741,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"20",191,0.96866322887743,0.782142857142857,0.725490196078431,0.752906976744186,0.738944365192582,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"21",201,0.96866322887743,0.782142857142857,0.725490196078431,0.752906976744186,0.738944365192582,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"22",211,0.969456564855216,0.780952380952381,0.723463687150838,0.752906976744186,0.737891737891738,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"23",221,0.969456564855216,0.780952380952381,0.723463687150838,0.752906976744186,0.737891737891738,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"24",231,0.969456564855216,0.780952380952381,0.723463687150838,0.752906976744186,0.737891737891738,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"25",241,0.96985323284411,0.780952380952381,0.723463687150838,0.752906976744186,0.737891737891738,0.772889417360285,0.74438202247191,0.726027397260274,0.735090152565881
"26",251,0.96985323284411,0.780952380952381,0.723463687150838,0.752906976744186,0.737891737891738,0.771700356718193,0.742296918767507,0.726027397260274,0.734072022160665
"27",261,0.96985323284411,0.780952380952381,0.723463687150838,0.752906976744186,0.737891737891738,0.771700356718193,0.742296918767507,0.726027397260274,0.734072022160665
"28",271,0.96985323284411,0.780952380952381,0.723463687150838,0.752906976744186,0.737891737891738,0.771700356718193,0.742296918767507,0.726027397260274,0.734072022160665
"29",281,0.970249900833003,0.780952380952381,0.723463687150838,0.752906976744186,0.737891737891738,0.771700356718193,0.742296918767507,0.726027397260274,0.734072022160665
"30",291,0.971043236810789,0.780952380952381,0.723463687150838,0.752906976744186,0.737891737891738,0.771700356718193,0.742296918767507,0.726027397260274,0.734072022160665
