"","0","1","2","3","4","5","6"
"0",4,2,1,0,0,1,0
"1",1,11,2,0,0,1,0
"2",0,3,10,4,1,2,0
"3",1,1,4,16,2,0,0
"4",0,1,0,5,19,3,0
"5",1,2,0,0,3,13,1
"6",1,2,0,1,2,2,2
