"","0","1","2","3","4","5","6","7","8"
"0",5,1,0,0,0,0,1,0,0
"1",2,9,2,2,1,0,0,1,0
"2",0,1,10,0,0,1,2,3,0
"3",0,1,0,8,3,1,0,1,0
"4",0,0,1,3,19,5,1,0,0
"5",0,0,1,0,1,15,3,0,2
"6",0,0,1,0,2,3,8,2,0
"7",0,0,0,0,0,1,2,16,0
"8",1,3,1,1,0,1,1,2,4
