"","0","1","2","3","4","5","6","7"
"0",7,3,1,0,1,0,2,0
"1",1,12,0,1,2,0,1,0
"2",0,4,12,4,2,2,1,0
"3",0,0,4,11,4,0,2,0
"4",0,0,3,2,11,4,0,0
"5",0,1,0,2,1,15,2,1
"6",0,0,2,0,0,2,13,0
"7",1,2,1,0,1,1,3,2
