"","cost","trainAcc","valAcc","valPrecision","valRecall","valF1_score","testAcc","testPrecision","testRecall","testF1_score"
"1",1,0.791352637842126,0.785714285714286,0.74468085106383,0.853658536585366,0.795454545454545,0.771700356718193,0.744136460554371,0.828978622327791,0.784269662921348
"2",11,0.839349464498215,0.817857142857143,0.798143851508121,0.839024390243902,0.81807372175981,0.803804994054697,0.783185840707965,0.840855106888361,0.810996563573883
"3",21,0.85442284807616,0.825,0.812351543942993,0.834146341463415,0.823104693140794,0.814506539833531,0.800453514739229,0.838479809976247,0.819025522041763
"4",31,0.858786195953987,0.825,0.813842482100239,0.831707317073171,0.822677925211098,0.813317479191439,0.797297297297297,0.840855106888361,0.81849710982659
"5",41,0.864736215787386,0.829761904761905,0.823244552058111,0.829268292682927,0.826245443499392,0.816884661117717,0.804100227790433,0.838479809976247,0.82093023255814
"6",51,0.872669575565252,0.836904761904762,0.828915662650602,0.839024390243902,0.833939393939394,0.819262782401903,0.802247191011236,0.847980997624703,0.824480369515011
"7",61,0.872669575565252,0.83452380952381,0.824940047961631,0.839024390243902,0.83192261185006,0.81807372175981,0.800448430493274,0.847980997624703,0.823529411764706
"8",71,0.883776279254264,0.841666666666667,0.835351089588378,0.841463414634146,0.838396111786148,0.814506539833531,0.797752808988764,0.843230403800475,0.81986143187067
"9",81,0.883776279254264,0.842857142857143,0.835748792270531,0.84390243902439,0.839805825242719,0.813317479191439,0.795964125560538,0.843230403800475,0.818915801614764
"10",91,0.882189607298691,0.842857142857143,0.832535885167464,0.848780487804878,0.840579710144928,0.814506539833531,0.797752808988764,0.843230403800475,0.81986143187067
"11",101,0.884172947243157,0.841666666666667,0.832134292565947,0.846341463414634,0.839177750906892,0.814506539833531,0.796420581655481,0.845605700712589,0.820276497695853
"12",111,0.88813962713209,0.844047619047619,0.828235294117647,0.858536585365854,0.84311377245509,0.815695600475624,0.802272727272727,0.838479809976247,0.819976771196283
"13",121,0.888536295120984,0.844047619047619,0.826697892271663,0.860975609756098,0.843488649940263,0.814506539833531,0.800453514739229,0.838479809976247,0.819025522041763
"14",131,0.893296310987703,0.838095238095238,0.818604651162791,0.858536585365854,0.838095238095238,0.816884661117717,0.802721088435374,0.840855106888361,0.821345707656613
"15",141,0.893296310987703,0.84047619047619,0.82093023255814,0.860975609756098,0.840476190476191,0.813317479191439,0.798642533936652,0.838479809976247,0.818076477404403
"16",151,0.89289964299881,0.84047619047619,0.82093023255814,0.860975609756098,0.840476190476191,0.814506539833531,0.799097065462754,0.840855106888361,0.819444444444444
"17",161,0.89527965093217,0.836904761904762,0.815242494226328,0.860975609756098,0.837485172004745,0.819262782401903,0.804988662131519,0.843230403800475,0.823665893271462
"18",171,0.894486314954383,0.838095238095238,0.81712962962963,0.860975609756098,0.838479809976247,0.814506539833531,0.799097065462754,0.840855106888361,0.819444444444444
"19",181,0.89527965093217,0.836904761904762,0.816705336426914,0.858536585365854,0.837098692033294,0.813317479191439,0.798642533936652,0.838479809976247,0.818076477404403
"20",191,0.895676318921063,0.838095238095238,0.81712962962963,0.860975609756098,0.838479809976247,0.81807372175981,0.804545454545455,0.840855106888361,0.822299651567944
"21",201,0.89527965093217,0.835714285714286,0.814814814814815,0.858536585365854,0.836104513064133,0.815695600475624,0.800904977375566,0.840855106888361,0.820393974507532
"22",211,0.89527965093217,0.835714285714286,0.814814814814815,0.858536585365854,0.836104513064133,0.815695600475624,0.800904977375566,0.840855106888361,0.820393974507532
"23",221,0.89527965093217,0.836904761904762,0.816705336426914,0.858536585365854,0.837098692033294,0.81807372175981,0.804545454545455,0.840855106888361,0.822299651567944
"24",231,0.899246330821103,0.841666666666667,0.822843822843823,0.860975609756098,0.841477949940405,0.824019024970273,0.810933940774487,0.845605700712589,0.827906976744186
"25",241,0.89765965886553,0.839285714285714,0.819025522041763,0.860975609756098,0.839476813317479,0.821640903686088,0.807256235827664,0.845605700712589,0.825986078886311
"26",251,0.898849662832209,0.839285714285714,0.819025522041763,0.860975609756098,0.839476813317479,0.820451843043995,0.805429864253394,0.845605700712589,0.825028968713789
"27",261,0.899246330821103,0.839285714285714,0.819025522041763,0.860975609756098,0.839476813317479,0.821640903686088,0.807256235827664,0.845605700712589,0.825986078886311
"28",271,0.900039666798889,0.842857142857143,0.824766355140187,0.860975609756098,0.842482100238664,0.821640903686088,0.810068649885583,0.840855106888361,0.825174825174825
"29",281,0.898849662832209,0.84047619047619,0.819444444444444,0.863414634146341,0.840855106888361,0.821640903686088,0.807256235827664,0.845605700712589,0.825986078886311
"30",291,0.904006346687822,0.844047619047619,0.825174825174825,0.863414634146341,0.843861740166865,0.825208085612366,0.812785388127854,0.845605700712589,0.828870779976717
"31",301,0.904403014676716,0.846428571428571,0.825986078886311,0.868292682926829,0.846611177170036,0.827586206896552,0.813636363636364,0.850356294536817,0.831591173054588
"32",311,0.900833002776676,0.842857142857143,0.823255813953488,0.863414634146341,0.842857142857143,0.821640903686088,0.808656036446469,0.843230403800475,0.825581395348837
"33",321,0.903609678698929,0.846428571428571,0.825986078886311,0.868292682926829,0.846611177170036,0.826397146254459,0.813211845102506,0.847980997624703,0.830232558139535
"34",331,0.900436334787783,0.842857142857143,0.823255813953488,0.863414634146341,0.842857142857143,0.821640903686088,0.808656036446469,0.843230403800475,0.825581395348837
"35",341,0.902816342721142,0.847619047619048,0.826388888888889,0.870731707317073,0.847980997624703,0.822829964328181,0.810502283105023,0.843230403800475,0.826542491268917
"36",351,0.902816342721142,0.847619047619048,0.826388888888889,0.870731707317073,0.847980997624703,0.825208085612366,0.812785388127854,0.845605700712589,0.828870779976717
"37",361,0.909163030543435,0.838095238095238,0.820093457943925,0.85609756097561,0.837708830548926,0.821640903686088,0.811494252873563,0.838479809976247,0.824766355140187
"38",371,0.902816342721142,0.847619047619048,0.826388888888889,0.870731707317073,0.847980997624703,0.824019024970273,0.80952380952381,0.847980997624703,0.82830626450116
"39",381,0.906386354621182,0.84047619047619,0.82093023255814,0.860975609756098,0.840476190476191,0.824019024970273,0.80952380952381,0.847980997624703,0.82830626450116
"40",391,0.905196350654502,0.844047619047619,0.825174825174825,0.863414634146341,0.843861740166865,0.827586206896552,0.815068493150685,0.847980997624703,0.831199068684517
"41",401,0.902816342721142,0.847619047619048,0.827906976744186,0.868292682926829,0.847619047619048,0.824019024970273,0.80952380952381,0.847980997624703,0.82830626450116
"42",411,0.907973026576755,0.839285714285714,0.82051282051282,0.858536585365854,0.839094159713945,0.825208085612366,0.812785388127854,0.845605700712589,0.828870779976717
"43",421,0.906386354621182,0.84047619047619,0.82093023255814,0.860975609756098,0.840476190476191,0.825208085612366,0.811363636363636,0.847980997624703,0.829268292682927
"44",431,0.907576358587862,0.841666666666667,0.822843822843823,0.860975609756098,0.841477949940405,0.825208085612366,0.812785388127854,0.845605700712589,0.828870779976717
"45",441,0.907576358587862,0.841666666666667,0.822843822843823,0.860975609756098,0.841477949940405,0.825208085612366,0.812785388127854,0.845605700712589,0.828870779976717
"46",451,0.909956366521222,0.838095238095238,0.820093457943925,0.85609756097561,0.837708830548926,0.820451843043995,0.811059907834101,0.836104513064133,0.823391812865497
