"","cost","trainAcc","valAcc","valPrecision","valRecall","valF1_score","testAcc","testPrecision","testRecall","testF1_score"
"1",1,0.537088456961523,0.482142857142857,NA,NA,NA,0.469678953626635,NA,NA,NA
"2",11,0.660055533518445,0.564285714285714,NA,NA,NA,0.558858501783591,NA,NA,NA
"3",21,0.708052360174534,0.588095238095238,NA,NA,NA,0.579072532699168,NA,NA,NA
"4",31,0.724712415708052,0.592857142857143,NA,NA,NA,0.581450653983353,NA,NA,NA
"5",41,0.735819119397065,0.603571428571429,NA,NA,NA,0.594530321046373,NA,NA,NA
"6",51,0.757635858786196,0.622619047619048,NA,NA,NA,0.604042806183115,NA,NA,NA
"7",61,0.760809202697342,0.622619047619048,NA,NA,NA,0.606420927467301,NA,NA,NA
"8",71,0.780642602142007,0.622619047619048,NA,NA,NA,0.605231866825208,NA,NA,NA
"9",81,0.781832606108687,0.622619047619048,NA,NA,NA,0.604042806183115,NA,NA,NA
"10",91,0.774692582308608,0.620238095238095,NA,NA,NA,0.604042806183115,NA,NA,NA
"11",101,0.780245934153114,0.627380952380952,NA,NA,NA,0.60166468489893,NA,NA,NA
"12",111,0.792542641808806,0.638095238095238,NA,NA,NA,0.607609988109394,NA,NA,NA
"13",121,0.792939309797699,0.638095238095238,NA,NA,NA,0.607609988109394,NA,NA,NA
"14",131,0.801269337564459,0.642857142857143,NA,NA,NA,0.613555291319857,NA,NA,NA
"15",141,0.800079333597779,0.639285714285714,NA,NA,NA,0.611177170035672,NA,NA,NA
"16",151,0.804046013486712,0.639285714285714,NA,NA,NA,0.613555291319857,NA,NA,NA
"17",161,0.814359381197937,0.64047619047619,NA,NA,NA,0.615933412604043,NA,NA,NA
"18",171,0.808409361364538,0.64047619047619,NA,NA,NA,0.612366230677765,NA,NA,NA
"19",181,0.811186037286791,0.639285714285714,NA,NA,NA,0.615933412604043,NA,NA,NA
"20",191,0.818722729075764,0.636904761904762,NA,NA,NA,0.625445897740785,NA,NA,NA
"21",201,0.813566045220151,0.641666666666667,NA,NA,NA,0.617122473246136,NA,NA,NA
"22",211,0.814756049186831,0.638095238095238,NA,NA,NA,0.618311533888228,NA,NA,NA
"23",221,0.817929393097977,0.64047619047619,NA,NA,NA,0.618311533888228,NA,NA,NA
"24",231,0.831416104720349,0.646428571428571,NA,NA,NA,0.62782401902497,NA,NA,NA
"25",241,0.82546608488695,0.644047619047619,NA,NA,NA,0.625445897740785,NA,NA,NA
"26",251,0.826259420864736,0.645238095238095,NA,NA,NA,0.62782401902497,NA,NA,NA
"27",261,0.828639428798096,0.65,NA,NA,NA,0.62782401902497,NA,NA,NA
"28",271,0.833796112653709,0.652380952380952,NA,NA,NA,0.626634958382878,NA,NA,NA
"29",281,0.829036096786989,0.648809523809524,NA,NA,NA,0.62782401902497,NA,NA,NA
"30",291,0.842126140420468,0.655952380952381,NA,NA,NA,0.629013079667063,NA,NA,NA
"31",301,0.842919476398255,0.657142857142857,NA,NA,NA,0.62782401902497,NA,NA,NA
"32",311,0.836176120587069,0.653571428571429,NA,NA,NA,0.625445897740785,NA,NA,NA
"33",321,0.843316144387148,0.657142857142857,NA,NA,NA,0.62782401902497,NA,NA,NA
"34",331,0.836969456564855,0.654761904761905,NA,NA,NA,0.62782401902497,NA,NA,NA
"35",341,0.843316144387148,0.655952380952381,NA,NA,NA,0.626634958382878,NA,NA,NA
"36",351,0.843712812376041,0.657142857142857,NA,NA,NA,0.625445897740785,NA,NA,NA
"37",361,0.853629512098374,0.661904761904762,NA,NA,NA,0.634958382877527,NA,NA,NA
"38",371,0.844109480364934,0.655952380952381,NA,NA,NA,0.62782401902497,NA,NA,NA
"39",381,0.851646172153907,0.664285714285714,NA,NA,NA,0.632580261593341,NA,NA,NA
"40",391,0.848472828242761,0.664285714285714,NA,NA,NA,0.631391200951249,NA,NA,NA
"41",401,0.845299484331614,0.65952380952381,NA,NA,NA,0.630202140309156,NA,NA,NA
"42",411,0.854026180087267,0.663095238095238,NA,NA,NA,0.634958382877527,NA,NA,NA
"43",421,0.851249504165014,0.66547619047619,NA,NA,NA,0.631391200951249,NA,NA,NA
"44",431,0.852439508131694,0.663095238095238,NA,NA,NA,0.632580261593341,NA,NA,NA
"45",441,0.852439508131694,0.661904761904762,NA,NA,NA,0.633769322235434,NA,NA,NA
"46",451,0.85561285204284,0.666666666666667,NA,NA,NA,0.634958382877527,NA,NA,NA
"47",461,0.85442284807616,0.664285714285714,NA,NA,NA,0.634958382877527,NA,NA,NA
"48",471,0.861166203887346,0.661904761904762,NA,NA,NA,0.630202140309156,NA,NA,NA
"49",481,0.86037286790956,0.663095238095238,NA,NA,NA,0.632580261593341,NA,NA,NA
"50",491,0.860769535898453,0.663095238095238,NA,NA,NA,0.631391200951249,NA,NA,NA
