"","cost","degree","trainAcc","valAcc","valPrecision","valRecall","valF1_score","testAcc","testPrecision","testRecall","testF1_score"
"44",431,1,0.68226894089647,0.679761904761905,0.643002028397566,0.773170731707317,0.702104097452935,0.682520808561237,0.654618473895582,0.774346793349169,0.709466811751904
"45",441,1,0.681872272907576,0.678571428571429,0.6417004048583,0.773170731707317,0.701327433628319,0.684898929845422,0.656626506024096,0.776722090261283,0.711643090315561
"46",451,1,0.677905593018643,0.680952380952381,0.643145161290323,0.778048780487805,0.704194260485651,0.680142687277051,0.650793650793651,0.779097387173397,0.709189189189189
"47",461,1,0.68226894089647,0.679761904761905,0.643002028397566,0.773170731707317,0.702104097452935,0.682520808561237,0.654618473895582,0.774346793349169,0.709466811751904
"48",471,1,0.68226894089647,0.680952380952381,0.643145161290323,0.778048780487805,0.704194260485651,0.681331747919144,0.652087475149105,0.779097387173397,0.70995670995671
"49",481,1,0.681872272907576,0.679761904761905,0.642424242424242,0.775609756097561,0.702762430939227,0.683709869203329,0.655310621242485,0.776722090261283,0.710869565217391
"50",491,1,0.681872272907576,0.679761904761905,0.643584521384929,0.770731707317073,0.701442841287458,0.682520808561237,0.654618473895582,0.774346793349169,0.709466811751904
"51",1,2,0.761999206664022,0.758333333333333,0.717894736842105,0.831707317073171,0.770621468926554,0.743162901307967,0.711340206185567,0.819477434679335,0.76158940397351
"52",11,2,0.762395874652915,0.758333333333333,0.717894736842105,0.831707317073171,0.770621468926554,0.744351961950059,0.712809917355372,0.819477434679335,0.762430939226519
"53",21,2,0.762395874652915,0.758333333333333,0.717894736842105,0.831707317073171,0.770621468926554,0.744351961950059,0.712809917355372,0.819477434679335,0.762430939226519
"54",31,2,0.761999206664022,0.758333333333333,0.717894736842105,0.831707317073171,0.770621468926554,0.743162901307967,0.711340206185567,0.819477434679335,0.76158940397351
"55",41,2,0.760412534708449,0.759523809523809,0.720338983050847,0.829268292682927,0.770975056689342,0.743162901307967,0.712215320910973,0.817102137767221,0.761061946902655
"56",51,2,0.765172550575169,0.761904761904762,0.720588235294118,0.836585365853659,0.774266365688488,0.746730083234245,0.713991769547325,0.824228028503563,0.7651598676957
"57",61,2,0.762395874652915,0.757142857142857,0.716386554621849,0.831707317073171,0.769751693002257,0.750297265160523,0.717525773195876,0.826603325415677,0.768211920529801
