,cost,degree,trainAcc,valAcc,valPrecision,valRecall,valF1_score,testAcc,testPrecision,testRecall,testF1_score
154,31,4,0.916699722,0.79047619,0.742774566,0.747093023,0.744927536,0.776456599,0.734748011,0.75890411,0.746630728
155,41,4,0.942483142,0.794047619,0.73553719,0.776162791,0.755304102,0.765755054,0.735955056,0.717808219,0.726768377
156,51,4,0.918683062,0.786904762,0.723577236,0.776162791,0.748948107,0.768133175,0.741477273,0.715068493,0.728033473
157,61,4,0.92304641,0.778571429,0.719444444,0.752906977,0.735795455,0.776456599,0.745152355,0.736986301,0.741046832
158,71,4,0.900833003,0.777380952,0.709333333,0.773255814,0.739916551,0.724137931,0.675461741,0.701369863,0.688172043
159,81,4,0.907576359,0.766666667,0.698924731,0.755813953,0.726256983,0.744351962,0.708333333,0.698630137,0.703448276
160,91,4,0.917493058,0.769047619,0.702702703,0.755813953,0.728291317,0.730083234,0.698275862,0.665753425,0.681626928
161,101,4,0.92899643,0.770238095,0.715099715,0.729651163,0.722302158,0.760998811,0.738372093,0.695890411,0.716502116
162,111,4,0.92304641,0.782142857,0.719346049,0.76744186,0.742616034,0.757431629,0.729344729,0.701369863,0.715083799
163,121,4,0.934153114,0.780952381,0.720994475,0.75872093,0.739376771,0.764565993,0.737891738,0.709589041,0.723463687
164,131,4,0.919873066,0.779761905,0.716621253,0.764534884,0.739803094,0.744351962,0.723214286,0.665753425,0.693295292
165,141,4,0.92502975,0.771428571,0.715909091,0.73255814,0.724137931,0.75862069,0.731428571,0.701369863,0.716083916
166,151,4,0.902419675,0.779761905,0.731778426,0.729651163,0.730713246,0.772889417,0.765243902,0.687671233,0.724386724
167,161,4,0.86592622,0.725,0.637469586,0.761627907,0.694039735,0.726516052,0.665036675,0.745205479,0.702842377
168,171,4,0.920666402,0.803571429,0.74386921,0.793604651,0.767932489,0.77764566,0.737967914,0.756164384,0.746955345
169,181,4,0.914319714,0.771428571,0.706521739,0.755813953,0.730337079,0.764565993,0.740634006,0.704109589,0.721910112
170,191,4,0.915509718,0.779761905,0.720221607,0.755813953,0.737588652,0.749108205,0.716292135,0.698630137,0.707350902
171,201,4,0.893296311,0.763095238,0.692307692,0.75872093,0.723994452,0.736028537,0.699164345,0.687671233,0.693370166
172,211,4,0.907576359,0.785714286,0.735632184,0.744186047,0.739884393,0.762187872,0.736389685,0.704109589,0.719887955
173,221,4,0.924236414,0.782142857,0.724233983,0.755813953,0.739687055,0.766944114,0.736694678,0.720547945,0.728531856
174,231,4,0.915509718,0.771428571,0.719653179,0.723837209,0.72173913,0.743162901,0.72238806,0.663013699,0.691428571
175,241,4,0.903213011,0.788095238,0.737142857,0.75,0.74351585,0.756242568,0.723463687,0.709589041,0.716459198
176,251,4,0.91907973,0.776190476,0.711956522,0.761627907,0.735955056,0.755053508,0.725212465,0.701369863,0.713091922
177,261,4,0.904006347,0.770238095,0.704607046,0.755813953,0.729312763,0.74078478,0.722054381,0.654794521,0.686781609
178,271,4,0.914716382,0.788095238,0.718421053,0.793604651,0.754143646,0.756242568,0.729885057,0.695890411,0.712482468
179,281,4,0.908766363,0.778571429,0.704663212,0.790697674,0.745205479,0.752675386,0.727536232,0.687671233,0.707042254
180,291,4,0.893692979,0.771428571,0.705405405,0.75872093,0.731092437,0.736028537,0.70487106,0.673972603,0.68907563
181,301,4,0.880602935,0.782142857,0.719346049,0.76744186,0.742616034,0.746730083,0.713483146,0.695890411,0.704576976
182,311,4,0.898056327,0.78452381,0.71849866,0.779069767,0.747559275,0.745541023,0.709141274,0.701369863,0.70523416
183,321,4,0.873066244,0.751190476,0.685950413,0.723837209,0.704384724,0.733650416,0.704347826,0.665753425,0.684507042
184,331,4,0.895279651,0.791666667,0.736694678,0.764534884,0.750356633,0.728894174,0.689750693,0.682191781,0.685950413
185,341,4,0.905196351,0.792857143,0.741477273,0.75872093,0.75,0.757431629,0.736070381,0.687671233,0.711048159
186,351,4,0.908369695,0.783333333,0.730113636,0.747093023,0.738505747,0.770511296,0.744318182,0.717808219,0.730822873
187,361,4,0.912336374,0.772619048,0.701846966,0.773255814,0.73582296,0.765755054,0.72826087,0.734246575,0.731241473
188,371,4,0.877032923,0.754761905,0.694915254,0.715116279,0.70487106,0.736028537,0.698060942,0.690410959,0.694214876
189,381,4,0.895676319,0.778571429,0.727011494,0.735465116,0.731213873,0.757431629,0.74617737,0.668493151,0.705202312
190,391,4,0.893692979,0.75952381,0.689839572,0.75,0.718662953,0.752675386,0.718662953,0.706849315,0.712707182
191,401,4,0.885362951,0.766666667,0.705555556,0.738372093,0.721590909,0.74078478,0.698113208,0.709589041,0.703804348
192,411,4,0.896469655,0.779761905,0.73313783,0.726744186,0.729927007,0.746730083,0.723529412,0.673972603,0.69787234
193,421,4,0.893296311,0.772619048,0.711911357,0.747093023,0.729078014,0.736028537,0.694822888,0.698630137,0.696721311
194,431,4,0.900436335,0.764285714,0.707386364,0.723837209,0.715517241,0.741973841,0.724242424,0.654794521,0.687769784
195,441,4,0.892502975,0.782142857,0.731988473,0.738372093,0.735166425,0.728894174,0.714733542,0.624657534,0.666666667
196,451,4,0.900833003,0.771428571,0.706521739,0.755813953,0.730337079,0.753864447,0.729651163,0.687671233,0.708039492
197,461,4,0.842919476,0.723809524,0.632075472,0.779069767,0.697916667,0.695600476,0.638676845,0.687671233,0.662269129
198,471,4,0.903213011,0.777380952,0.717451524,0.752906977,0.734751773,0.744351962,0.709497207,0.695890411,0.702627939
199,481,4,0.846489488,0.717857143,0.626477541,0.770348837,0.691003911,0.711058264,0.647342995,0.734246575,0.688061617
200,491,4,0.902816343,0.783333333,0.713157895,0.787790698,0.748618785,0.75862069,0.715425532,0.736986301,0.726045884
