"","cost","trainAcc","valAcc","valPrecision","valRecall","valF1_score","testAcc","testPrecision","testRecall","testF1_score"
"1",1,0.783966879939782,0.766365688487585,0.753747323340471,0.792792792792793,0.772777167947311,0.75819209039548,0.736401673640167,0.8,0.766884531590414
"2",51,0.859992472713587,0.813769751693002,0.817767653758542,0.808558558558559,0.813137032842582,0.781920903954802,0.778781038374718,0.784090909090909,0.781426953567384
"3",101,0.872788859616108,0.821670428893905,0.827981651376147,0.813063063063063,0.820454545454545,0.788700564971751,0.784269662921348,0.793181818181818,0.788700564971751
"4",151,0.882574331953331,0.827313769751693,0.831435079726651,0.822072072072072,0.826727066817667,0.792090395480226,0.792237442922374,0.788636363636364,0.790432801822323
"5",201,0.887467068121942,0.828442437923251,0.833333333333333,0.822072072072072,0.827664399092971,0.793220338983051,0.795402298850575,0.786363636363636,0.790857142857143
"6",251,0.894617990214528,0.831828442437923,0.842227378190255,0.817567567567568,0.829714285714286,0.79774011299435,0.802784222737819,0.786363636363636,0.794489092996556
"7",301,0.897252540459164,0.832957110609481,0.842592592592593,0.81981981981982,0.831050228310502,0.794350282485876,0.8,0.781818181818182,0.790804597701149
"8",351,0.898005269100489,0.832957110609481,0.844186046511628,0.817567567567568,0.830663615560641,0.795480225988701,0.801864801864802,0.781818181818182,0.791714614499425
"9",401,0.896876176138502,0.829571106094808,0.835240274599542,0.822072072072072,0.828603859250851,0.790960451977401,0.797202797202797,0.777272727272727,0.78711162255466
"10",451,0.89649981181784,0.830699774266366,0.837155963302752,0.822072072072072,0.829545454545455,0.788700564971751,0.796252927400468,0.772727272727273,0.784313725490196
"11",501,0.899510726383139,0.830699774266366,0.837155963302752,0.822072072072072,0.829545454545455,0.788700564971751,0.796252927400468,0.772727272727273,0.784313725490196
"12",551,0.904027098231088,0.832957110609481,0.839449541284404,0.824324324324324,0.831818181818182,0.787570621468927,0.795774647887324,0.770454545454546,0.782909930715935
"13",601,0.906661648475725,0.834085778781038,0.841379310344828,0.824324324324324,0.832764505119454,0.788700564971751,0.797647058823529,0.770454545454546,0.783815028901734
"14",651,0.903274369589763,0.832957110609481,0.837899543378995,0.826576576576577,0.832199546485261,0.786440677966102,0.793911007025761,0.770454545454546,0.782006920415225
"15",701,0.908167105758374,0.838600451467269,0.844393592677345,0.831081081081081,0.837684449489217,0.790960451977401,0.798594847775176,0.775,0.786620530565167
"16",751,0.908919834399699,0.843115124153499,0.845804988662131,0.84009009009009,0.842937853107345,0.789830508474576,0.796728971962617,0.775,0.785714285714286
"17",801,0.911554384644336,0.838600451467269,0.842824601366743,0.833333333333333,0.838052095130238,0.787570621468927,0.793023255813953,0.775,0.783908045977012
"18",851,0.910048927361686,0.838600451467269,0.842824601366743,0.833333333333333,0.838052095130238,0.789830508474576,0.7981220657277,0.772727272727273,0.785219399538106
"19",901,0.911554384644336,0.838600451467269,0.842824601366743,0.833333333333333,0.838052095130238,0.786440677966102,0.792540792540793,0.772727272727273,0.782508630609896
"20",951,0.912683477606323,0.837471783295711,0.845622119815668,0.826576576576577,0.835990888382688,0.786440677966102,0.792540792540793,0.772727272727273,0.782508630609896
"21",1001,0.911554384644336,0.837471783295711,0.842465753424658,0.831081081081081,0.836734693877551,0.786440677966102,0.792540792540793,0.772727272727273,0.782508630609896
"22",1051,0.914565299209635,0.832957110609481,0.842592592592593,0.81981981981982,0.831050228310502,0.785310734463277,0.793427230046948,0.768181818181818,0.780600461893765
"23",1101,0.911930748964998,0.837471783295711,0.845622119815668,0.826576576576577,0.835990888382688,0.785310734463277,0.793427230046948,0.768181818181818,0.780600461893765
"24",1151,0.916070756492285,0.835214446952596,0.84331797235023,0.824324324324324,0.83371298405467,0.787570621468927,0.795774647887324,0.770454545454546,0.782909930715935
