"possRoutes","DISTANCE","ROUTES","ROUTESPREV","ADD","DEL","HUBS","DIRECT_COST","SEG_PAX","MKT_PAX"
1014010158,0,0,0,0,0,0,0,0,0
1014010257,0,0,0,0,0,0,0,0,117
1014010279,277,0,1,0,1,0,1166139.30750565,48984,109
1014010299,0,0,0,0,0,0,0,0,0
1014010397,1269,1,1,0,0,1,13142235.7166751,138479,135930
1014010423,619,0,0,0,0,0,865925.373430013,10334,14551
1014010529,0,0,0,0,0,0,0,0,114
1014010599,0,0,0,0,0,0,0,0,614
1014010620,0,0,0,0,0,0,0,0,6
1014010666,0,0,0,0,0,0,0,0,0
1014010693,0,0,0,0,0,0,0,0,3377
1014010713,0,0,0,0,0,0,0,0,679
1014010721,0,0,0,0,0,1,0,0,939
1014010781,0,0,0,0,0,0,0,0,0
1014010785,0,0,0,0,0,0,0,0,0
1014010792,0,0,0,0,0,0,0,0,66
1014010800,0,0,0,0,0,0,0,0,2354
1014010821,1670,1,1,0,0,0,8325295.01895358,69570,67548
1014010849,0,0,0,0,0,0,0,0,0
1014010868,0,0,0,0,0,0,0,0,0
1014010874,0,0,0,0,0,0,0,0,0
1014010994,0,0,0,0,0,0,0,0,0
1014011003,0,0,0,0,0,0,0,0,0
1014011042,1411,0,1,0,1,0,105825.016827952,352,218
1014011057,0,0,0,0,0,1,0,0,554
1014011066,0,0,0,0,0,0,0,0,10
1014011109,280,0,0,0,0,0,2587.01440683639,130,190
1014011193,1240,0,0,0,0,0,7585074.46329785,94151,797
1014011259,580,1,1,0,0,0,13970155.462626,279085,184151
1014011267,0,0,0,0,0,0,0,0,255
1014011278,0,0,0,0,0,1,0,0,127
1014011292,349,1,1,0,0,1,8545286.35630167,312720,288401
1014011298,569,1,1,0,0,1,13595948.4574647,297583,292445
1014011423,0,0,0,0,0,0,0,0,0
1014011433,0,0,0,0,0,1,0,0,1694
1014011481,0,0,0,0,0,0,0,0,84
1014011540,223,1,1,0,0,0,1086399.8477789,57100,32740
1014011603,0,0,0,0,0,0,0,0,10
1014011618,1805,0,0,0,0,1,677813.547859876,4094,327
1014011624,0,0,0,0,0,0,0,0,0
1014011630,0,0,0,0,0,0,0,0,0
1014011637,0,0,0,0,0,0,0,0,0
1014011638,0,0,0,0,0,0,0,0,186
1014011697,0,0,0,0,0,0,0,0,1896
1014011721,0,0,0,0,0,0,0,0,0
1014011775,0,0,0,0,0,0,0,0,0
1014011884,0,0,0,0,0,0,0,0,1645
1014011986,0,0,0,0,0,0,0,0,0
1014011995,0,0,0,0,0,0,0,0,0
1014011996,0,0,0,0,0,0,0,0,0
1014012016,0,0,0,0,0,0,0,0,0
1014012173,0,0,0,0,0,0,0,0,0
1014012191,759,1,1,0,0,0,6220222.65957279,94935,75185
1014012197,0,0,0,0,0,0,0,0,0
1014012217,0,0,0,0,0,0,0,0,8
1014012264,1628,1,1,0,0,1,3988942.5562934,36796,37746
1014012266,744,1,1,0,0,1,6593482.79844293,102684,102781
1014012278,0,0,0,0,0,0,0,0,58
1014012323,0,0,0,0,0,0,0,0,0
1014012339,0,0,0,0,0,0,0,0,420
1014012391,0,0,0,0,0,0,0,0,486
1014012402,0,0,0,0,0,0,0,0,0
1014012448,0,0,0,0,0,0,0,0,0
1014012451,0,0,0,0,0,0,0,0,2
1014012478,1826,0,0,0,0,1,3136883.89217129,26269,25
1014012758,0,0,0,0,0,0,0,0,0
1014012889,487,1,1,0,0,0,8017876.32263,189916,158922
1014012892,677,1,1,0,0,1,11459301.6732574,176669,145683
1014012896,289,1,1,0,0,0,811206.803813451,31489,22642
1014012945,0,0,0,0,0,0,0,0,0
1014012953,0,0,0,0,0,1,0,0,2526
1014012954,0,0,0,0,0,0,0,0,43
1014012982,0,0,0,0,0,0,0,0,0
1014012992,0,0,0,0,0,0,0,0,413
1014013158,332,1,1,0,0,0,739301.711332703,27023,22366
1014013198,718,1,1,0,0,0,3344991.32045035,50061,36321
1014013204,1552,1,1,0,0,0,5133513.45067791,45287,39571
1014013230,0,0,0,0,0,0,0,0,0
1014013232,1121,1,1,0,0,1,6871722.63696012,81515,73303
1014013244,942,0,1,0,1,0,4693.13155788491,87,14
1014013296,0,0,0,0,0,0,0,0,653
1014013303,0,0,0,0,0,1,0,0,0
1014013342,0,0,0,0,0,0,0,0,348
1014013367,0,0,0,0,0,0,0,0,168
1014013485,0,0,0,0,0,0,0,0,28
1014013487,981,1,1,0,0,1,5204592.8142974,78137,76737
1014013495,0,0,0,0,0,0,0,0,1482
1014013577,0,0,0,0,0,0,0,0,0
1014013796,889,1,1,0,0,0,6888776.47574894,90871,79472
1014013830,0,0,0,0,0,0,0,0,0
1014013851,510,0,0,0,0,0,676614.007874049,9766,608
1014013871,0,0,0,0,0,0,0,0,276
1014013891,630,1,0,1,0,0,8477.6841192012,172,1863
1014013930,1118,1,1,0,0,1,7572008.46406937,90308,86697
1014013931,0,0,0,0,0,0,0,0,147
1014014027,0,0,0,0,0,0,0,0,130
1014014057,1111,1,1,0,0,0,3271828.57900211,36001,30864
1014014100,0,0,0,0,0,1,0,0,7301
1014014107,328,1,1,0,0,1,10999074.3285983,429430,368895
1014014112,0,0,0,0,0,0,0,0,0
1014014122,0,0,0,0,0,0,0,0,245
1014014193,0,0,0,0,0,0,0,0,0
1014014262,0,0,0,0,0,0,0,0,119
1014014307,0,0,0,0,0,0,0,0,613
1014014321,0,0,0,0,0,0,0,0,0
1014014492,0,0,0,0,0,0,0,0,593
1014014524,0,0,0,0,0,0,0,0,37
1014014570,0,0,0,0,0,0,0,0,3109
1014014576,0,0,0,0,0,0,0,0,0
1014014635,0,0,0,0,0,0,0,0,76
1014014679,628,1,1,0,0,0,4742659.57492191,85654,70612
1014014683,609,0,0,0,0,0,719967.282494661,7543,10879
1014014685,0,0,0,0,0,0,0,0,0
1014014730,0,0,0,0,0,0,0,0,14
1014014747,1180,1,1,0,0,1,6981627.21927241,74639,52715
1014014761,0,0,0,0,0,0,0,0,0
1014014771,896,1,1,0,0,1,1189860.83003134,17036,22064
1014014831,871,1,0,1,0,0,3996.71858404685,63,3431
1014014843,0,0,0,0,0,0,0,0,0
1014014869,493,1,1,0,0,1,5362302.85745074,123638,112459
1014014893,866,0,0,0,0,0,1689772.18239061,14333,8672
1014014908,0,0,0,0,0,0,0,0,5353
1014014986,0,0,0,0,0,0,0,0,0
1014015016,934,1,1,0,0,0,2971961.44038476,40253,29530
1014015024,0,0,0,0,0,0,0,0,0
1014015096,0,0,0,0,0,0,0,0,0
1014015304,1497,0,1,0,1,0,4059611.09409233,42669,10442
1014015370,608,0,0,0,0,0,771786.197358922,9384,1849
1014015376,321,1,1,0,0,0,1771215.99088947,60278,50197
1014015412,0,0,0,0,0,0,0,0,0
1014015919,0,0,0,0,0,0,0,0,0
1015810257,0,0,0,0,0,0,0,0,0
1015810279,0,0,0,0,0,0,0,0,0
1015810299,0,0,0,0,0,0,0,0,0
1015810397,678,1,1,0,0,1,5115243.9523778,57181,57181
1015810423,0,0,0,0,0,0,0,0,0
1015810529,0,0,0,0,0,0,0,0,0
1015810599,0,0,0,0,0,0,0,0,0
1015810620,0,0,0,0,0,0,0,0,0
1015810666,0,0,0,0,0,0,0,0,0
1015810693,0,0,0,0,0,0,0,0,0
1015810713,0,0,0,0,0,0,0,0,0
1015810721,274,1,1,0,0,1,1094327.2018836,54145,41512
1015810781,0,0,0,0,0,0,0,0,0
1015810785,0,0,0,0,0,0,0,0,0
1015810792,0,0,0,0,0,0,0,0,0
