"possRoutes","DISTANCE","ROUTES","ROUTESPREV","ADD","DEL","HUBS","DIRECT_COST","SEG_PAX","MKT_PAX"
1014010158,0,0,0,0,0,0,0,0,0
1014010257,0,0,0,0,0,0,0,0,576
1014010279,277,0,0,0,0,0,1384605.91194974,50520,0
1014010299,0,0,0,0,0,0,0,0,0
1014010397,1269,1,1,0,0,1,13121510.2702836,131802,132941
1014010423,619,0,0,0,0,0,1028149.36743969,10658,7350
1014010529,0,0,0,0,0,0,0,0,555
1014010599,0,0,0,0,0,0,0,0,1
1014010620,0,0,0,0,0,0,0,0,2
1014010666,0,0,0,0,0,0,0,0,0
1014010693,0,0,0,0,0,0,0,0,2096
1014010713,0,0,0,0,0,0,0,0,49
1014010721,0,0,0,0,0,1,0,0,2079
1014010781,0,0,0,0,0,0,0,0,0
1014010785,0,0,0,0,0,0,0,0,0
1014010792,0,0,0,0,0,0,0,0,167
1014010800,0,0,0,0,0,0,0,0,4311
1014010821,1670,1,1,0,0,0,10730741.0949842,73798,70408
1014010849,0,0,0,0,0,0,0,0,0
1014010868,0,0,0,0,0,0,0,0,0
1014010874,0,0,0,0,0,0,0,0,1
1014010994,0,0,0,0,0,0,0,0,18
1014011003,0,0,0,0,0,0,0,0,1
1014011042,1411,0,0,0,0,0,125650.463018505,363,77
1014011057,0,0,0,0,0,1,0,0,914
1014011066,0,0,0,0,0,0,0,0,277
1014011109,280,0,0,0,0,0,3071.67027039561,134,2
1014011193,1240,0,0,0,0,0,9006075.75515619,97105,0
1014011259,580,1,1,0,0,0,14513133.9729004,293304,189905
1014011267,0,0,0,0,0,0,0,0,611
1014011278,0,0,0,0,0,1,0,0,59
1014011292,349,1,1,0,0,1,8214069.08144586,270419,252485
1014011298,569,1,1,0,0,1,14350442.4291755,290439,286540
1014011423,0,0,0,0,0,0,0,0,174
1014011433,0,0,0,0,0,1,0,0,568
1014011481,0,0,0,0,0,0,0,0,168
1014011540,223,1,1,0,0,0,16327.1277955045,825,501
1014011603,0,0,0,0,0,0,0,0,0
1014011618,1805,0,0,0,0,1,804796.339104511,4222,875
1014011624,0,0,0,0,0,0,0,0,60
1014011630,0,0,0,0,0,0,0,0,0
1014011637,0,0,0,0,0,0,0,0,19
1014011638,0,0,0,0,0,0,0,0,52
1014011697,0,0,0,0,0,0,0,0,243
1014011721,0,0,0,0,0,0,0,0,10
1014011775,0,0,0,0,0,0,0,0,20
1014011884,0,0,0,0,0,0,0,0,375
1014011986,0,0,0,0,0,0,0,0,0
1014011995,0,0,0,0,0,0,0,0,0
1014011996,0,0,0,0,0,0,0,0,7
1014012016,0,0,0,0,0,0,0,0,0
1014012173,0,0,0,0,0,0,0,0,0
1014012191,759,1,1,0,0,0,7957534.41463396,107720,94407
1014012197,0,0,0,0,0,0,0,0,25
1014012217,0,0,0,0,0,0,0,0,6
1014012264,1628,1,1,0,0,1,4769434.23575609,37753,39597
1014012266,744,1,1,0,0,1,4307222.10598912,74880,74800
1014012278,0,0,0,0,0,0,0,0,163
1014012323,0,0,0,0,0,0,0,0,0
1014012339,0,0,0,0,0,0,0,0,48
1014012391,0,0,0,0,0,0,0,0,236
1014012402,0,0,0,0,0,0,0,0,0
1014012448,0,0,0,0,0,0,0,0,0
1014012451,0,0,0,0,0,0,0,0,89
1014012478,1826,1,0,1,0,1,3724553.27956541,27094,26946
1014012758,0,0,0,0,0,0,0,0,0
1014012889,486,1,1,0,0,0,7254792.55636083,180281,161788
1014012892,677,1,1,0,0,1,11799191.5157711,192589,164703
1014012896,289,0,1,0,1,0,1261591.00639061,44539,3
1014012945,0,0,0,0,0,0,0,0,0
1014012953,0,0,0,0,0,1,0,0,844
1014012954,0,0,0,0,0,0,0,0,83
1014012982,0,0,0,0,0,0,0,0,0
1014012992,0,0,0,0,0,0,0,0,974
1014013158,332,0,1,0,1,0,1435918.80351486,44067,601
1014013198,718,1,1,0,0,0,2412312.94766209,39796,31745
1014013204,1553,1,1,0,0,0,2893432.05470628,21124,22611
1014013230,0,0,0,0,0,0,0,0,0
1014013232,1121,1,1,0,0,1,8401688.77843272,85702,78218
1014013244,942,0,0,0,0,0,5572.35114088107,90,0
1014013296,0,0,0,0,0,0,0,0,606
1014013303,0,0,0,0,0,1,0,0,0
1014013342,0,0,0,0,0,0,0,0,114
1014013367,0,0,0,0,0,0,0,0,0
1014013485,0,0,0,0,0,0,0,0,153
1014013487,981,1,1,0,0,1,3951761.92752304,50677,51793
1014013495,0,0,0,0,0,0,0,0,2763
1014013577,0,0,0,0,0,0,0,0,0
1014013796,889,1,1,0,0,0,6880775.32931966,89395,71601
1014013830,0,0,0,0,0,0,0,0,0
1014013851,510,0,0,0,0,0,803372.075171973,10072,832
1014013871,0,0,0,0,0,0,0,0,259
1014013891,630,0,0,0,0,0,1720704.15572493,17358,2000
1014013930,1118,1,1,0,0,1,3646710.41281748,66562,66652
1014013931,0,0,0,0,0,0,0,0,115
1014014027,0,0,0,0,0,0,0,0,0
1014014057,1111,1,1,0,0,0,3535254.86203928,35501,30147
1014014100,0,0,0,0,0,1,0,0,1770
1014014107,328,1,1,0,0,1,9497270.28187908,364752,326880
1014014112,0,0,0,0,0,0,0,0,0
1014014122,0,0,0,0,0,0,0,0,1131
1014014193,0,0,0,0,0,0,0,0,0
1014014262,0,0,0,0,0,0,0,0,0
1014014307,0,0,0,0,0,0,0,0,16
