possRoutes,DISTANCE,ROUTES,ROUTESPREV,ADD,DEL,HUBS,DIRECT_COST,SEG_PAX,MKT_PAX
1014010158,0,0,0,0,0,0,0,0,0
1014010257,0,0,0,0,0,0,0,0,6
1014010279,277,1,1,0,0,0,1060574.734,47338,22794
1014010299,0,0,0,0,0,0,0,0,0
1014010397,1269,1,1,0,0,1,11354191.98,145475,144353
1014010423,619,1,0,1,0,0,837724.1579,11039,34467
1014010529,0,0,0,0,0,0,0,0,377
1014010599,0,0,0,0,0,0,0,0,81
1014010620,0,0,0,0,0,0,0,0,78
1014010666,0,0,0,0,0,0,0,0,28
1014010693,0,0,0,0,0,0,0,0,11437
1014010713,0,0,0,0,0,0,0,0,251
1014010721,0,0,0,0,0,1,0,0,70
1014010781,0,0,0,0,0,0,0,0,0
1014010785,0,0,0,0,0,0,0,0,0
1014010792,0,0,0,0,0,0,0,0,17
1014010800,0,0,0,0,0,0,0,0,7886
1014010821,1670,1,1,0,0,0,4697639.951,45552,48321
1014010849,0,0,0,0,0,0,0,0,10
1014010868,0,0,0,0,0,0,0,0,0
1014010874,0,0,0,0,0,0,0,0,0
1014010994,0,0,0,0,0,0,0,0,0
1014011003,0,0,0,0,0,0,0,0,0
1014011042,1411,1,1,0,0,0,108030.378,376,2107
1014011057,1449,0,0,0,0,1,19699.25289,125,108
1014011066,0,0,0,0,0,0,0,0,428
1014011109,280,0,1,0,1,0,2502.761245,140,0
1014011193,1240,1,1,0,0,0,4164123.845,49764,48397
1014011259,580,1,1,0,0,0,12679438.39,281428,203842
1014011267,0,0,0,0,0,0,0,0,0
1014011278,0,0,0,0,0,1,0,0,398
1014011292,349,1,1,0,0,1,6910316.667,242814,237157
1014011298,569,1,1,0,0,1,11796238.33,307248,301963
1014011423,0,0,0,0,0,0,0,0,35
1014011433,0,0,0,0,0,1,0,0,573
1014011481,0,0,0,0,0,0,0,0,0
1014011540,223,1,1,0,0,0,1195564.288,79838,44964
1014011603,0,0,0,0,0,0,0,0,84
1014011618,1805,1,1,0,0,1,4286391.398,29150,29286
1014011624,0,0,0,0,0,0,0,0,0
1014011630,0,0,0,0,0,0,0,0,0
1014011637,0,0,0,0,0,0,0,0,4
1014011638,0,0,0,0,0,0,0,0,0
1014011697,0,0,0,0,0,0,0,0,7944
1014011721,0,0,0,0,0,0,0,0,0
1014011775,0,0,0,0,0,0,0,0,6
1014011884,0,0,0,0,0,0,0,0,815
1014011986,0,0,0,0,0,0,0,0,18
1014011995,0,0,0,0,0,0,0,0,0
1014011996,0,0,0,0,0,0,0,0,0
1014012016,0,0,0,0,0,0,0,0,0
1014012173,0,0,0,0,0,0,0,0,0
1014012191,759,1,1,0,0,0,4597844.516,80211,58143
1014012197,0,0,0,0,0,0,0,0,0
1014012217,0,0,0,0,0,0,0,0,370
1014012264,1628,1,1,0,0,1,3740584.432,34478,36711
1014012266,744,1,1,0,0,1,10615313.22,155938,156757
1014012278,0,0,0,0,0,0,0,0,78
1014012323,0,0,0,0,0,0,0,0,0
1014012339,0,0,0,0,0,0,0,0,121
1014012391,0,0,0,0,0,0,0,0,1397
1014012402,0,0,0,0,0,0,0,0,0
1014012448,0,0,0,0,0,0,0,0,0
1014012451,0,0,0,0,0,0,0,0,0
1014012478,1826,0,0,0,0,1,3037615.415,28060,75
1014012758,0,0,0,0,0,0,0,0,0
1014012889,487,1,1,0,0,0,8209083.122,226988,192025
1014012892,677,1,1,0,0,1,10374465.68,182451,145624
