possRoutes,DISTANCE,ROUTES,ROUTESPREV,ADD,DEL,HUBS,DIRECT_COST,SEG_PAX,MKT_PAX
1014010158,0,0,0,0,0,0,0,0,0
1014010257,0,0,0,0,0,0,0,0,1263
1014010279,277,1,1,0,0,0,569551.1422,22615,12640
1014010299,0,0,0,0,0,0,0,0,0
1014010397,1269,1,1,0,0,1,15236158.07,140929,139681
1014010423,619,1,1,0,0,0,869334.7654,13983,31101
1014010529,0,0,0,0,0,0,0,0,524
1014010599,0,0,0,0,0,0,0,0,1589
1014010620,0,0,0,0,0,0,0,0,2
1014010666,0,0,0,0,0,0,0,0,0
1014010693,0,0,0,0,0,0,0,0,7359
1014010713,0,0,0,0,0,0,0,0,229
1014010721,0,0,0,0,0,1,0,0,147
1014010781,0,0,0,0,0,0,0,0,0
1014010785,0,0,0,0,0,0,0,0,0
1014010792,0,0,0,0,0,0,0,0,95
1014010800,0,0,0,0,0,0,0,0,10573
1014010821,1670,1,1,0,0,0,8199142.461,65551,57193
1014010849,0,0,0,0,0,0,0,0,82
1014010868,0,0,0,0,0,0,0,0,0
1014010874,0,0,0,0,0,0,0,0,0
1014010994,0,0,0,0,0,0,0,0,0
1014011003,0,0,0,0,0,0,0,0,0
1014011042,1411,1,1,0,0,0,66571.52614,180,864
1014011057,1449,0,0,0,0,1,25831.85314,121,166
1014011066,0,0,0,0,0,0,0,0,537
1014011109,280,0,0,0,0,0,3281.89913,135,0
1014011193,1240,1,1,0,0,0,3570076.483,33269,32739
1014011259,580,1,1,0,0,0,15986604.94,305068,202892
1014011267,0,0,0,0,0,0,0,0,240
1014011278,0,0,0,0,0,1,0,0,818
1014011292,349,1,1,0,0,1,10294611.27,325150,309379
1014011298,569,1,1,0,0,1,15935105.77,310600,305133
1014011423,0,0,0,0,0,0,0,0,0
1014011433,0,0,0,0,0,1,0,0,106
1014011481,0,0,0,0,0,0,0,0,0
1014011540,223,1,1,0,0,0,1176684.675,67766,40143
1014011603,0,0,0,0,0,0,0,0,17
1014011618,1805,1,1,0,0,1,2288010.567,13162,13342
1014011624,0,0,0,0,0,0,0,0,0
1014011630,0,0,0,0,0,0,0,0,0
1014011637,0,0,0,0,0,0,0,0,0
1014011638,0,0,0,0,0,0,0,0,0
1014011697,0,0,0,0,0,0,0,0,1171
1014011721,0,0,0,0,0,0,0,0,0
1014011775,0,0,0,0,0,0,0,0,0
1014011884,0,0,0,0,0,0,0,0,469
1014011986,0,0,0,0,0,0,0,0,0
1014011995,0,0,0,0,0,0,0,0,0
1014011996,0,0,0,0,0,0,0,0,0
1014012016,0,0,0,0,0,0,0,0,0
1014012173,0,0,0,0,0,0,0,0,0
1014012191,759,1,1,0,0,0,5362684.326,80587,71332
1014012197,0,0,0,0,0,0,0,0,0
1014012217,0,0,0,0,0,0,0,0,0
1014012264,1628,1,1,0,0,1,4613621.926,33451,35634
1014012266,744,1,1,0,0,1,10441108.46,144100,144176
1014012278,0,0,0,0,0,0,0,0,0
1014012323,0,0,0,0,0,0,0,0,0
1014012339,0,0,0,0,0,0,0,0,879
1014012391,0,0,0,0,0,0,0,0,139
1014012402,0,0,0,0,0,0,0,0,0
1014012448,0,0,0,0,0,0,0,0,94
1014012451,0,0,0,0,0,0,0,0,985
1014012478,1826,0,0,0,0,1,4042212.408,27101,6
1014012758,0,0,0,0,0,0,0,0,0
1014012889,487,1,1,0,0,0,8789404.927,202336,163251
1014012892,677,1,1,0,0,1,11880757.29,180230,140974
1014012896,289,1,1,0,0,0,936831.7339,36560,17315
1014012945,0,0,0,0,0,0,0,0,0
1014012953,0,0,0,0,0,1,0,0,2600
1014012954,0,0,0,0,0,0,0,0,17
1014012982,0,0,0,0,0,0,0,0,0
1014012992,0,0,0,0,0,0,0,0,1631
1014013158,332,1,1,0,0,0,1070510.485,35756,21170
1014013198,718,1,1,0,0,0,3016382.11,46566,36393
1014013204,1552,1,1,0,0,0,9168419.164,78505,59182
1014013230,0,0,0,0,0,0,0,0,0
1014013232,1121,1,1,0,0,1,7124796.727,82651,69744
1014013244,942,0,0,0,0,0,5953.729649,90,338
1014013296,0,0,0,0,0,0,0,0,2658
1014013303,0,0,0,0,0,1,0,0,5
1014013342,0,0,0,0,0,0,0,0,367
1014013367,0,0,0,0,0,0,0,0,0
1014013485,0,0,0,0,0,0,0,0,0
1014013487,981,1,1,0,0,1,6625100.387,87579,86440
1014013495,0,0,0,0,0,0,0,0,2013
1014013577,0,0,0,0,0,0,0,0,0
1014013796,889,1,1,0,0,0,6781388.613,94000,79272
1014013830,0,0,0,0,0,0,0,0,0
1014013851,510,1,1,0,0,0,342589.7125,6706,5242
1014013871,0,0,0,0,0,0,0,0,346
1014013891,630,1,1,0,0,0,961127.592,15180,22280
1014013930,1118,1,1,0,0,1,7534475.011,73689,73653
1014013931,0,0,0,0,0,0,0,0,263
1014014027,0,0,0,0,0,0,0,0,19
1014014057,1111,1,1,0,0,0,2872150.388,34079,33160
1014014100,0,0,0,0,0,1,0,0,2393
1014014107,328,1,1,0,0,1,13600707.06,481273,399424
1014014112,0,0,0,0,0,0,0,0,0
1014014122,0,0,0,0,0,0,0,0,77
1014014193,0,0,0,0,0,0,0,0,1
1014014262,0,0,0,0,0,0,0,0,0
1014014307,0,0,0,0,0,0,0,0,2530
1014014321,0,0,0,0,0,0,0,0,0
1014014492,0,0,0,0,0,0,0,0,846
1014014524,0,0,0,0,0,0,0,0,33
1014014570,0,0,0,0,0,0,0,0,1478
1014014576,0,0,0,0,0,0,0,0,0
1014014635,0,0,0,0,0,0,0,0,378
1014014679,628,1,1,0,0,0,4541942.762,81698,64954
1014014683,609,1,1,0,0,0,923355.6352,15088,23212
1014014685,0,0,0,0,0,0,0,0,0
1014014730,0,0,0,0,0,0,0,0,731
1014014747,1180,1,1,0,0,1,6126948.9,67003,55183
1014014761,0,0,0,0,0,0,0,0,0
1014014771,896,1,1,0,0,1,2311324.836,21149,25836
1014014831,871,0,0,0,0,0,5150.201922,64,13848
1014014843,0,0,0,0,0,0,0,0,0
1014014869,493,1,1,0,0,1,6579940.655,125357,98403
1014014893,866,1,1,0,0,0,1218313.858,14028,21685
1014014908,0,0,0,0,0,0,0,0,3461
1014014986,0,0,0,0,0,0,0,0,0
1014015016,934,1,1,0,0,0,2793799.311,37542,26936
1014015024,0,0,0,0,0,0,0,0,0
1014015096,0,0,0,0,0,0,0,0,0
1014015304,1497,1,1,0,0,0,4496846.799,39741,31912
1014015370,608,1,1,0,0,0,450322.4701,7394,5195
