"","year","origin","dest","distcalc","origID","destID","dist_mi","dcost","segpax","mktpax","orig_income","dest_income","orig_pop","dest_pop","orig_tourist","dest_tourist","orig_industry","dest_industry","gdp","log_twoPops","twoPops","log_twoIncome","twoIncome"
"29",2005,"ATL","TPA",655.671318797877,10397,15304,406,25124935.48,1002977,1000896,33698,30331,396311,326829,"N","Y","Y","Y",44307.83,25.5871469128642,723140,20.7451193381936,64029
"30",2005,"BOS","BWI",594.571435844114,10721,10821,370,10815799.66,280093,273322,40476,35961,587260,621560,"Y","N","Y","N",44307.83,26.6232106567996,1208820,21.0986547817249,76437
"31",2005,"BOS","CLT",1171.82930325116,10721,11057,728,14903302.27,330559,318664,40476,31787,587260,645100,"Y","N","Y","Y",44307.83,26.6603835534193,1232360,20.9752771650029,72263
"32",2005,"BOS","DCA",642.028626707909,10721,11278,399,13956463.29,446368,453674,40476,,587260,754896,"Y","Y","Y","Y",44307.83,26.8175582012976,1342156,,
"33",2005,"BOS","DEN",2818.80838055283,10721,11292,1754,25008894.93,260223,263634,40476,35224,587260,551691,"Y","Y","Y","N",44307.83,26.5039663168127,1138951,21.0779474322852,75700
"34",2005,"BOS","DFW",2511.94326712561,10721,11298,1562,36636352.05,384759,384327,40476,31238,587260,1808658,"Y","N","Y","Y",44307.83,27.6913186226769,2395918,20.9578550662673,71714
"35",2005,"BOS","DTW",1016.03185710961,10721,11433,632,11126161.98,274137,271326,40476,32254,587260,861222,"Y","N","Y","Y",44307.83,26.9493305207951,1448482,20.9898618303901,72730
"36",2005,"BOS","EWR",322.502712892818,10721,11618,200,4662218.349,316155,311552,40476,34138,587260,515275,"Y","Y","Y","Y",44307.83,26.4356789486104,1102535,21.0466308971739,74614
"37",2005,"BOS","FLL",1996.37356297726,10721,11697,1237,27407474.96,408827,411710,40476,,587260,318592,"Y","Y","Y","N",44307.83,25.9548894971862,905852,,
"38",2005,"BOS","HNL",8195.36158839222,10721,12173,0,0,0,21,40476,,587260,918181,"Y","Y","Y","Y",44307.83,27.0133727488226,1505441,,
"39",2005,"BOS","IAD",664.225230518712,10721,12264,413,11472070.93,368823,359702,40476,,587260,567136,"Y","Y","Y","Y",44307.83,26.5315773437538,1154396,,
"40",2005,"BOS","IAH",2570.37165392044,10721,12266,1597,19376081.57,174267,175782,40476,29663,587260,1995773,"Y","N","Y","Y",44307.83,27.7897649328301,2583033,20.9061202417516,70139
"41",2005,"BOS","JFK",300.356469855376,10721,12478,187,2785280.056,164109,170987,40476,37876,587260,8013368,"Y","Y","Y","Y",44307.83,29.1798446359759,8600628,21.150537429953,78352
"42",2005,"BOS","LAS",3826.88960226147,10721,12889,2381,27305212.77,212003,212185,40476,30075,587260,776305,"Y","Y","Y","Y",44307.83,26.8455236940809,1363565,20.9199140256925,70551
"43",2005,"BOS","LAX",4197.57304564459,10721,12892,2611,49261453.5,347700,359257,40476,,587260,3788197,"Y","Y","Y","Y",44307.83,28.4306236691706,4375457,,
"44",2005,"BOS","LGA",296.856470541992,10721,12953,185,9795040.327,734201,734899,40476,37876,587260,8013368,"Y","Y","Y","Y",44307.83,29.1798446359759,8600628,21.150537429953,78352
