"","cost","trainAcc","valAcc","testAcc"
"1",1,0.476001586671956,0.823299319727891,0.819262782401903
"2",51,0.723125743752479,0.874829931972789,0.863088160353321
"3",101,0.777469258230861,0.878741496598639,0.876167827416341
"4",151,0.792542641808806,0.882142857142857,0.874808900968235
"5",201,0.806426021420071,0.888095238095238,0.87922541192458
"6",251,0.822689408964697,0.895068027210884,0.876677424834381
"7",301,0.824672748909163,0.891326530612245,0.878376082894513
"8",351,0.841729472431575,0.893197278911565,0.877526753864447
"9",401,0.844109480364934,0.893367346938776,0.875828095804315
"10",451,0.839349464498215,0.892687074829932,0.877187022252421
"11",501,0.844109480364934,0.893027210884354,0.875828095804315
"12",551,0.855216184053947,0.890136054421769,0.874299303550195
"13",601,0.856009520031733,0.89030612244898,0.874299303550195
"14",651,0.864736215787386,0.890136054421769,0.876507559028368
"15",701,0.864339547798493,0.888945578231293,0.877017156446407
"16",751,0.865529551765173,0.887585034013605,0.875148632580262
"17",801,0.875842919476398,0.891326530612245,0.875148632580262
"18",851,0.869496231654106,0.887925170068027,0.875148632580262
"19",901,0.872669575565252,0.890986394557823,0.874299303550195
"20",951,0.876239587465292,0.890816326530612,0.877526753864447
"21",1001,0.873859579531932,0.889455782312925,0.874639035162222
"22",1051,0.874652915509718,0.888605442176871,0.876167827416341
"23",1101,0.876636255454185,0.889455782312925,0.87871581450654
"24",1151,0.884569615232051,0.89047619047619,0.879055546118566
"25",1201,0.879809599365331,0.888605442176871,0.878376082894513
"26",1251,0.881792939309798,0.88843537414966,0.87769661967046
"27",1301,0.881792939309798,0.888265306122449,0.8782062170885
"28",1351,0.886552955176517,0.890986394557823,0.877356888058434
"29",1401,0.882982943276478,0.888945578231293,0.878545948700527
"30",1451,0.89051963506545,0.887244897959184,0.878545948700527
"31",1501,0.891312971043237,0.887585034013605,0.876847290640394
"32",1551,0.887346291154304,0.89030612244898,0.876337693222354
"33",1601,0.89170963903213,0.888265306122449,0.876507559028368
"34",1651,0.887742959143197,0.889625850340136,0.876847290640394
"35",1701,0.892106307021023,0.887755102040816,0.876337693222354
"36",1751,0.893296310987703,0.888605442176871,0.875997961610328
"37",1801,0.899642998809996,0.886734693877551,0.875997961610328
"38",1851,0.893692978976597,0.887414965986395,0.875488364192288
"39",1901,0.89765965886553,0.88656462585034,0.875658229998301
"40",1951,0.896866322887743,0.886734693877551,0.875488364192288
