"","cost","trainAcc","valAcc","testAcc"
"1",1,0.68345894486315,0.639285714285714,0.640903686087991
"2",51,0.814359381197937,0.727380952380952,0.70986920332937
"3",101,0.840539468464895,0.740476190476191,0.732461355529132
"4",151,0.846092820309401,0.751190476190476,0.737217598097503
"5",201,0.85680285600952,0.751190476190476,0.739595719381688
"6",251,0.863546211820706,0.746428571428571,0.750297265160523
"7",301,0.863546211820706,0.746428571428571,0.750297265160523
"8",351,0.872669575565252,0.75,0.746730083234245
"9",401,0.872272907576359,0.748809523809524,0.747919143876338
"10",451,0.871479571598572,0.75,0.743162901307967
"11",501,0.873462911543038,0.751190476190476,0.747919143876338
"12",551,0.879412931376438,0.75,0.750297265160523
"13",601,0.879016263387545,0.75,0.747919143876338
"14",651,0.885759619198731,0.746428571428571,0.750297265160523
"15",701,0.884966283220944,0.747619047619048,0.747919143876338
"16",751,0.886156287187624,0.748809523809524,0.750297265160523
"17",801,0.894882982943277,0.748809523809524,0.739595719381688
"18",851,0.88813962713209,0.75,0.747919143876338
"19",901,0.88932963109877,0.747619047619048,0.747919143876338
"20",951,0.896866322887743,0.75,0.740784780023781
"21",1001,0.892502975009917,0.747619047619048,0.740784780023781
"22",1051,0.892502975009917,0.747619047619048,0.738406658739596
"23",1101,0.895676318921063,0.747619047619048,0.738406658739596
"24",1151,0.901229670765569,0.746428571428571,0.740784780023781
"25",1201,0.900833002776676,0.748809523809524,0.738406658739596
"26",1251,0.900833002776676,0.75,0.738406658739596
"27",1301,0.900436334787783,0.752380952380952,0.737217598097503
"28",1351,0.902419674732249,0.745238095238095,0.740784780023781
"29",1401,0.900833002776676,0.75,0.73602853745541
"30",1451,0.904799682665609,0.739285714285714,0.733650416171225
"31",1501,0.905196350654502,0.740476190476191,0.732461355529132
"32",1551,0.902816342721142,0.741666666666667,0.737217598097503
"33",1601,0.905593018643395,0.736904761904762,0.733650416171225
"34",1651,0.902816342721142,0.741666666666667,0.739595719381688
"35",1701,0.905196350654502,0.736904761904762,0.73602853745541
"36",1751,0.906386354621182,0.73452380952381,0.737217598097503
"37",1801,0.912733042443475,0.735714285714286,0.727705112960761
"38",1851,0.905593018643395,0.73452380952381,0.739595719381688
"39",1901,0.909559698532328,0.733333333333333,0.73602853745541
"40",1951,0.908766362554542,0.733333333333333,0.73602853745541
