"","cost","trainAcc","valAcc","testAcc"
"1",1,0.448234827449425,0.363095238095238,0.367419738406659
"2",51,0.705672352241174,0.51547619047619,0.500594530321046
"3",101,0.759222530741769,0.523809523809524,0.512485136741974
"4",151,0.771122570408568,0.53452380952381,0.529131985731272
"5",201,0.798095993653312,0.545238095238095,0.533888228299643
"6",251,0.823482744942483,0.553571428571429,0.535077288941736
"7",301,0.82546608488695,0.553571428571429,0.537455410225921
"8",351,0.844506148353828,0.558333333333333,0.542211652794293
"9",401,0.844506148353828,0.554761904761905,0.543400713436385
"10",451,0.839349464498215,0.553571428571429,0.543400713436385
"11",501,0.842522808409361,0.555952380952381,0.542211652794293
"12",551,0.854026180087267,0.563095238095238,0.549346016646849
"13",601,0.854819516065054,0.561904761904762,0.551724137931034
"14",651,0.866322887742959,0.560714285714286,0.548156956004756
"15",701,0.865132883776279,0.560714285714286,0.548156956004756
"16",751,0.867909559698532,0.561904761904762,0.551724137931034
"17",801,0.876239587465292,0.56547619047619,0.546967895362664
"18",851,0.871479571598572,0.563095238095238,0.544589774078478
"19",901,0.873462911543038,0.561904761904762,0.545778834720571
"20",951,0.880206267354224,0.564285714285714,0.552913198573127
"21",1001,0.875842919476398,0.563095238095238,0.546967895362664
"22",1051,0.875446251487505,0.563095238095238,0.548156956004756
"23",1101,0.877429591431971,0.563095238095238,0.552913198573127
"24",1151,0.887346291154304,0.554761904761905,0.549346016646849
"25",1201,0.884569615232051,0.555952380952381,0.551724137931034
"26",1251,0.885759619198731,0.554761904761905,0.552913198573127
"27",1301,0.886156287187624,0.55,0.550535077288942
"28",1351,0.892106307021023,0.542857142857143,0.544589774078478
"29",1401,0.886949623165411,0.545238095238095,0.551724137931034
"30",1451,0.89765965886553,0.545238095238095,0.5410225921522
"31",1501,0.89765965886553,0.544047619047619,0.538644470868014
"32",1551,0.894486314954383,0.541666666666667,0.543400713436385
"33",1601,0.898452994843316,0.546428571428571,0.538644470868014
"34",1651,0.89527965093217,0.539285714285714,0.545778834720571
"35",1701,0.898452994843316,0.545238095238095,0.539833531510107
"36",1751,0.900039666798889,0.542857142857143,0.537455410225921
"37",1801,0.902816342721142,0.547619047619048,0.536266349583829
"38",1851,0.901229670765569,0.541666666666667,0.538644470868014
"39",1901,0.902419674732249,0.544047619047619,0.535077288941736
"40",1951,0.902023006743356,0.542857142857143,0.536266349583829
